department,service_code,name,amount,description,category,workflow_type,requires_visit,requires_consultation,auto_bill,bill_timing,allowed_roles,is_active
RADIOLOGY,RAD-XRAY-WRIST,Wrist X-Ray,8000.00,X-ray imaging of the wrist,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-HAND,Hand X-Ray,7500.00,X-ray imaging of the hand,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-HIP,Hip X-Ray,9000.00,X-ray imaging of the hip joint,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-KNEE,Knee X-Ray,8500.00,X-ray imaging of the knee joint,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-ANKLE,Ankle X-Ray,8000.00,X-ray imaging of the ankle,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-FOOT,Foot X-Ray,7500.00,X-ray imaging of the foot,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-RIBS,Ribs X-Ray,9000.00,X-ray imaging of the ribs,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-FOREARM,Forearm X-Ray,8000.00,X-ray imaging of the forearm,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-LEG,Leg X-Ray,8500.00,X-ray imaging of the leg,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-CLAVICLE,Clavicle X-Ray,8000.00,X-ray imaging of the clavicle,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-HEAD,CT Scan Head Plain,35000.00,CT scan of the head without contrast,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-HEAD-CONTRAST,CT Scan Head with Contrast,45000.00,CT scan of the head with IV contrast,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-BRAIN,CT Brain Plain,35000.00,CT scan of the brain without contrast,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-CHEST,CT Scan Chest,40000.00,CT scan of the chest,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-ABDOMEN,CT Scan Abdomen,42000.00,CT scan of the abdomen,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-PELVIS,CT Scan Pelvis,42000.00,CT scan of the pelvis,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-ABD-PELVIS,CT Scan Abdomen & Pelvis,55000.00,CT scan of abdomen and pelvis,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-SPINE-CERV,CT Scan Cervical Spine,38000.00,CT scan of the cervical spine,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-SPINE-LUMB,CT Scan Lumbar Spine,38000.00,CT scan of the lumbar spine,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-UROGRAPHY,CT Urography,50000.00,CT scan of the urinary tract with contrast,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-BRAIN,MRI Brain Plain,65000.00,MRI scan of the brain without contrast,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-BRAIN-CONTRAST,MRI Brain with Contrast,85000.00,MRI scan of the brain with IV contrast,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-SPINE-CERV,MRI Cervical Spine,70000.00,MRI scan of the cervical spine,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-SPINE-THOR,MRI Thoracic Spine,70000.00,MRI scan of the thoracic spine,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-SPINE-LUMB,MRI Lumbar Spine,70000.00,MRI scan of the lumbar spine,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-SPINE-WHOLE,MRI Whole Spine,120000.00,MRI scan of the entire spine,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-SHOULDER,MRI Shoulder Joint,60000.00,MRI scan of the shoulder joint,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-KNEE,MRI Knee Joint,60000.00,MRI scan of the knee joint,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-ANKLE,MRI Ankle Joint,55000.00,MRI scan of the ankle joint,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-WRIST,MRI Wrist Joint,55000.00,MRI scan of the wrist joint,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-PELVIS,MRI Pelvis,65000.00,MRI scan of the pelvis,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-ABDOMEN,MRI Abdomen,65000.00,MRI scan of the abdomen,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-ABDOMEN,Ultrasound Abdomen,12000.00,Abdominal ultrasound scan,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-PELVIS,Ultrasound Pelvis,12000.00,Pelvic ultrasound scan,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-OB-FIRST,Obstetric Ultrasound (1st Trimester),15000.00,First trimester pregnancy ultrasound,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-OB-SECOND,Obstetric Ultrasound (2nd Trimester),18000.00,Second trimester pregnancy ultrasound with anatomy survey,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-OB-THIRD,Obstetric Ultrasound (3rd Trimester),18000.00,Third trimester pregnancy ultrasound,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-TVS,Transvaginal Ultrasound,15000.00,Transvaginal ultrasound scan,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-BREAST,Breast Ultrasound,13000.00,Ultrasound scan of the breast,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-THYROID,Thyroid Ultrasound,12000.00,Ultrasound scan of the thyroid gland,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-NECK,Neck Ultrasound,12000.00,Ultrasound scan of the neck,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-SCROTAL,Scrotal Ultrasound,12000.00,Ultrasound scan of the scrotum,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-PROSTATE,Prostate Ultrasound (TRUS),15000.00,Transrectal ultrasound of the prostate,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-RENAL,Renal Ultrasound,12000.00,Ultrasound scan of the kidneys,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-KUB,Ultrasound KUB,13000.00,Ultrasound scan of kidneys ureters and bladder,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-SOFT-TISSUE,Soft Tissue Ultrasound,10000.00,Ultrasound scan of soft tissues,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-MSK,Musculoskeletal Ultrasound,12000.00,Ultrasound scan of muscles tendons and joints,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-DOPPLER-CAROTID,Carotid Doppler Ultrasound,18000.00,Doppler ultrasound of carotid arteries,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-DOPPLER-DVT,Lower Limb Doppler (DVT),18000.00,Doppler ultrasound for deep vein thrombosis,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-ECHO,Echocardiography,25000.00,Ultrasound scan of the heart,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MAMMO-BILATERAL,Mammography Bilateral,18000.00,Mammogram of both breasts,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MAMMO-UNILATERAL,Mammography Unilateral,12000.00,Mammogram of one breast,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MAMMO-DIAGNOSTIC,Diagnostic Mammography,20000.00,Diagnostic mammography with targeted views,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-BARIUM-SWALLOW,Barium Swallow,20000.00,Fluoroscopic study of the esophagus with barium,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-BARIUM-MEAL,Barium Meal,22000.00,Fluoroscopic study of stomach and duodenum with barium,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-BARIUM-ENEMA,Barium Enema,25000.00,Fluoroscopic study of the colon with barium,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-IVU,Intravenous Urography (IVU),28000.00,X-ray study of the urinary system with IV contrast,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-HSG,Hysterosalpingography (HSG),25000.00,X-ray study of the uterus and fallopian tubes,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-FLUORO-GI,Fluoroscopy GI Study,20000.00,Fluoroscopic examination of gastrointestinal tract,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-BONE-SCAN,Bone Scan,45000.00,Nuclear medicine bone scan,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-DEXA,DEXA Bone Density Scan,18000.00,Dual-energy X-ray absorptiometry for bone density,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-PANORAMIC,Panoramic Dental X-Ray,8000.00,Panoramic X-ray of the jaw and teeth,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-ANGIOGRAPHY,CT Angiography,55000.00,CT scan of blood vessels with contrast,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-MRI-ANGIOGRAPHY,MR Angiography,75000.00,MRI scan of blood vessels,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-SINUS,Paranasal Sinuses X-Ray,8000.00,X-ray imaging of the paranasal sinuses,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-FACIAL,Facial Bones X-Ray,9000.00,X-ray imaging of facial bones,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-CT-SINUS,CT Scan Paranasal Sinuses,32000.00,CT scan of the paranasal sinuses,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-GUIDED-BIOPSY,Ultrasound Guided Biopsy,35000.00,Tissue biopsy under ultrasound guidance,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-US-GUIDED-ASPIRATION,Ultrasound Guided Aspiration,28000.00,Fluid aspiration under ultrasound guidance,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
