Department,Service Code,Service Name,Amount,Description,Category,Workflow Type,Requires Visit,Requires Consultation,Auto Bill,Bill Timing,Allowed Roles,Is Active
PHARMACY,PHARM-0030,Aledronic Acid,3000.00,Aledronic Acid,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0031,ALLERGIN (SYR),3500.00,ALLERGIN (SYR),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0032,ALLUPURINOL 300MG,5000.00,ALLUPURINOL 300MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0033,ALPHABETIC CAPLET,5200.00,ALPHABETIC CAPLET,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0034,ALPHABETIC TABS,3000.00,ALPHABETIC TABS,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0035,AMARYL ( GLIMEPRIDE )2MG,1500.00,AMARYL ( GLIMEPRIDE )2MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0036,AMARYL ( GLIMEPRIDE )4MG,3000.00,AMARYL ( GLIMEPRIDE )4MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0037,AMDIAQUINE (SYR),4000.00,AMDIAQUINE (SYR),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0038,AMIAS ( CANDESARTAN )  16MG,5500.00,AMIAS ( CANDESARTAN )  16MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0039,AMIAS ( CANDESARTAN )  4MG,3500.00,AMIAS ( CANDESARTAN )  4MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0040,AMIAS( CANDESARTAN )  2MG,2700.00,AMIAS( CANDESARTAN )  2MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0041,AMIAS( CANDESARTAN )  8MG,4500.00,AMIAS( CANDESARTAN )  8MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0042,AMINOPHYLINE INJ 250MG,750.00,AMINOPHYLINE INJ 250MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0043,AMIODARONE 100MG,1800.00,AMIODARONE 100MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0044,AMIODARONE 200MG,2500.00,AMIODARONE 200MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0045,AMITRIPTYLINE 10MG,1500.00,AMITRIPTYLINE 10MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0046,AMITRIPTYLINE 25MG (Per Card),2250.00,AMITRIPTYLINE 25MG (Per Card),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0047,AMLODIPINE 10MG (HMO) (per pack),3500.00,AMLODIPINE 10MG (HMO) (per pack),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0048,AMLODIPINE 10MG TEVA (PRIVATE),4500.00,AMLODIPINE 10MG TEVA (PRIVATE),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0049,AMLODIPINE 5MG (EDEN) (HMO),1800.00,AMLODIPINE 5MG (EDEN) (HMO),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0050,"AMLOVAR (5MG, TABS)",2000.00,"AMLOVAR (5MG, TABS)",DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0051,AMODIAQUINE (SYP),4500.00,AMODIAQUINE (SYP),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0052,AMOXICILLIN CAP 500MG (PER CAP),100.00,AMOXICILLIN CAP 500MG (PER CAP),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0053,AMOXIKLAV 1000MG (HMO),6500.00,AMOXIKLAV 1000MG (HMO),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0054,AMOXYCILLIN  125MG/5ML-100MLS,3500.00,AMOXYCILLIN  125MG/5ML-100MLS,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0055,AMOXYCILLIN  250MG,700.00,AMOXYCILLIN  250MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0056,AMPICLOX  500MG CAPSULE (PER TAB),100.00,AMPICLOX  500MG CAPSULE (PER TAB),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0057,AMPICLOX DROP,7000.00,AMPICLOX DROP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0058,ANNUSOL  SUPPOSITORIES,1000.00,ANNUSOL  SUPPOSITORIES,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0059,ANOROL,700.00,ANOROL,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0060,ANTASIL,500.00,ANTASIL,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0061,ANTHISAN CREAM,4000.00,ANTHISAN CREAM,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0062,ANTI RABIES VACCINE,35000.00,ANTI RABIES VACCINE,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0063,Antiseptic Salvon,5000.00,Antiseptic Salvon,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0064,ANTISIN-PRIVIN EYE DROP-10ML,4500.00,ANTISIN-PRIVIN EYE DROP-10ML,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0065,ANUSOL SUPPOSITORY,1000.00,ANUSOL SUPPOSITORY,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0066,APPROVEL TABS,4000.00,APPROVEL TABS,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0067,APRESOLINE ( Hydrallazine) 20MG INJ,4500.00,APRESOLINE ( Hydrallazine) 20MG INJ,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0068,APRESOLINE 25MG,5000.00,APRESOLINE 25MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0069,ARCALION 200MG,700.00,ARCALION 200MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0070,Arginine,20000.00,Arginine,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0071,ARM BODY SLING –MEDIUM,10000.00,ARM BODY SLING –MEDIUM,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0072,ARSUMAX  50MG,1500.00,ARSUMAX  50MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0073,ARTANE  5MG,1000.00,ARTANE  5MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0074,Arteether INJECTION 150MG/2ML (PRIVATE),8000.00,Arteether INJECTION 150MG/2ML (PRIVATE),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0075,ARTELUM 40/240MG TABS,4500.00,ARTELUM 40/240MG TABS,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0076,ARTEMETER AMODIAQUINE,4000.00,ARTEMETER AMODIAQUINE,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0077,ARTEMETER INJ  80MG PER VIAL (HMO),333.30,ARTEMETER INJ  80MG PER VIAL (HMO),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0078,ARTEQUICK ( ACT ),3500.00,ARTEQUICK ( ACT ),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0079,ARTEQUINE LACTAB 600/750MG,4000.00,ARTEQUINE LACTAB 600/750MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0080,ARTEQUNINE PAEDIATRIC,4500.00,ARTEQUNINE PAEDIATRIC,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0081,ARTESIANE 20MG INJ,1500.00,ARTESIANE 20MG INJ,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0082,ARTESIANE 80MG INJ,5000.00,ARTESIANE 80MG INJ,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0083,ARTESUNATE 120MG,5000.00,ARTESUNATE 120MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0084,ARTESUNATE 60MG,3500.00,ARTESUNATE 60MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0085,ARTESUNATE SUSP,3500.00,ARTESUNATE SUSP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0086,ARTHEGET SYRUP,3500.00,ARTHEGET SYRUP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0087,ARTHEMETER INJ 80MG (PER PACK),2500.00,ARTHEMETER INJ 80MG (PER PACK),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0088,ARTHROTEC ( DICLOFENAC & MISOPROSTOL ),600.00,ARTHROTEC ( DICLOFENAC & MISOPROSTOL ),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0089,ARVED  450MG,2000.00,ARVED  450MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0090,ARVED N 650MG,2500.00,ARVED N 650MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0091,ASPIRIN  300MG,500.00,ASPIRIN  300MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0092,ASPIRIN  75MG (DISPERSABLE),20.00,ASPIRIN  75MG (DISPERSABLE),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0093,astamocil oral suspension,3000.00,astamocil oral suspension,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0094,ASTYFER BLOOD TONIC 200ML,6000.00,ASTYFER BLOOD TONIC 200ML,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0095,ASTYFER CAP,5000.00,ASTYFER CAP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0096,ASTYMINE   SYRUP,4500.00,ASTYMINE   SYRUP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0097,ATENOLOL  100MG,3500.00,ATENOLOL  100MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0098,ATENOLOL  50MG,1800.00,ATENOLOL  50MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0099,ATIVAN  2MG(LORAZEPAM),2000.00,ATIVAN  2MG(LORAZEPAM),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0100,ATOVASTATIN(GENERIC) 10MG,3500.00,ATOVASTATIN(GENERIC) 10MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0101,ATRACARIUM,3500.00,ATRACARIUM,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0102,ATROPINE  6OOMCG INJ,3000.00,ATROPINE  6OOMCG INJ,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0103,ATROPINE EYE DROP,4500.00,ATROPINE EYE DROP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0104,ATROPINE INJ 1MG 1ML,3000.00,ATROPINE INJ 1MG 1ML,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0105,AUGMENTIN 1.2G INJ,7000.00,AUGMENTIN 1.2G INJ,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0106,AUGMENTIN 1G,8000.00,AUGMENTIN 1G,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0107,AUGMENTIN 228MG SYRUP,6500.00,AUGMENTIN 228MG SYRUP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0108,AUGMENTIN 312MG,5000.00,AUGMENTIN 312MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0109,AUGMENTIN 625,7500.00,AUGMENTIN 625,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0110,AUGMENTINE SUSP 457MG,6000.00,AUGMENTINE SUSP 457MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0111,AUGUMENTIN UNBRANDED,6000.00,AUGUMENTIN UNBRANDED,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0112,AVANDIA TAB 4MG,2500.00,AVANDIA TAB 4MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0113,AVOCOMB 450MG TAB,500.00,AVOCOMB 450MG TAB,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0114,AVOLAM  150MG,1000.00,AVOLAM  150MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0115,AVOMINE  25MG,2000.00,AVOMINE  25MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0116,AZATHIOPRINE 50MG,1000.00,AZATHIOPRINE 50MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0117,Azithromycin 500mg (Private) (Per Pack),6000.00,Azithromycin 500mg (Private) (Per Pack),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0118,Azithromycin 500mg Tab (HMO) (PER PACK),5500.00,Azithromycin 500mg Tab (HMO) (PER PACK),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0119,AZMAL INJECTION,3500.00,AZMAL INJECTION,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0120,AZOPT EYE DROP,5000.00,AZOPT EYE DROP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0121,AZYTHROMYCIN 500mg TAB,7500.00,AZYTHROMYCIN 500mg TAB,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0122,Baclofen 10mg,9900.00,Baclofen 10mg,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0123,BACTROBAN CREAM 15G,4500.00,BACTROBAN CREAM 15G,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0124,BANOCIDE  50MG,100.00,BANOCIDE  50MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0125,BANOCIDE 50MG,100.00,BANOCIDE 50MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0126,BCG SYRINGE & NEEDLE,500.00,BCG SYRINGE & NEEDLE,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0127,BCG VACCINE,15000.00,BCG VACCINE,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0128,BECLOX  500MG,2000.00,BECLOX  500MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
